"filename", "language", "JSON with Comments", "HTML", "XML", "JavaScript", "JSON", "TypeScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"e:\Workspace\Edu_Learn_Nest\MIGRATION_SUMMARY.md", "HTML", 0, 192, 0, 0, 0, 0, 0, 0, 0, 49, 241
"e:\Workspace\Edu_Learn_Nest\NEXTJS_MIGRATION_COMPLETE.md", "HTML", 0, 163, 0, 0, 0, 0, 0, 0, 0, 30, 193
"e:\Workspace\Edu_Learn_Nest\README.md", "HTML", 0, 23, 0, 0, 0, 0, 0, 0, 0, 14, 37
"e:\Workspace\Edu_Learn_Nest\app\(root)\about\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 119, 0, 0, 9, 128
"e:\Workspace\Edu_Learn_Nest\app\(root)\events\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 187, 0, 0, 18, 205
"e:\Workspace\Edu_Learn_Nest\app\(root)\features\[type]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 4, 25
"e:\Workspace\Edu_Learn_Nest\app\(root)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 3, 18
"e:\Workspace\Edu_Learn_Nest\app\(root)\news\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 350, 0, 0, 21, 371
"e:\Workspace\Edu_Learn_Nest\app\(root)\news\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 148, 0, 0, 14, 162
"e:\Workspace\Edu_Learn_Nest\app\(root)\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"e:\Workspace\Edu_Learn_Nest\app\admin\class-chat\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 75, 0, 2, 12, 89
"e:\Workspace\Edu_Learn_Nest\app\admin\classes\create\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 115, 0, 8, 15, 138
"e:\Workspace\Edu_Learn_Nest\app\admin\classes\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 34, 0, 1, 10, 45
"e:\Workspace\Edu_Learn_Nest\app\admin\content\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 112, 0, 6, 14, 132
"e:\Workspace\Edu_Learn_Nest\app\admin\exercises\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 214, 0, 0, 17, 231
"e:\Workspace\Edu_Learn_Nest\app\admin\exercises\create\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 79, 0, 5, 13, 97
"e:\Workspace\Edu_Learn_Nest\app\admin\exercises\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 48, 0, 2, 11, 61
"e:\Workspace\Edu_Learn_Nest\app\admin\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 22, 0, 0, 4, 26
"e:\Workspace\Edu_Learn_Nest\app\admin\news\handle\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 121, 0, 0, 10, 131
"e:\Workspace\Edu_Learn_Nest\app\admin\news\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 34, 0, 1, 9, 44
"e:\Workspace\Edu_Learn_Nest\app\admin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 182, 0, 5, 11, 198
"e:\Workspace\Edu_Learn_Nest\app\admin\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 179, 0, 9, 10, 198
"e:\Workspace\Edu_Learn_Nest\app\admin\students\create\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 132, 0, 11, 15, 158
"e:\Workspace\Edu_Learn_Nest\app\admin\students\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 35, 0, 1, 9, 45
"e:\Workspace\Edu_Learn_Nest\app\assets\react.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Workspace\Edu_Learn_Nest\app\auth\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"e:\Workspace\Edu_Learn_Nest\app\auth\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 370, 0, 10, 25, 405
"e:\Workspace\Edu_Learn_Nest\app\components\AIChatPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 207, 0, 9, 31, 247
"e:\Workspace\Edu_Learn_Nest\app\components\AdminSidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 101, 0, 3, 11, 115
"e:\Workspace\Edu_Learn_Nest\app\components\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 100, 0, 0, 7, 107
"e:\Workspace\Edu_Learn_Nest\app\components\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 132, 0, 0, 15, 147
"e:\Workspace\Edu_Learn_Nest\app\components\NotificationPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 167, 0, 5, 13, 185
