"filename", "language", "HTML", "TypeScript", "JSON", "TypeScript JSX", "CSS", "comment", "blank", "total"
"e:\Workspace\Edu_Learn_Next\LMS_Cheating_Prevention_Report.md", "HTML", 259, 0, 0, 0, 0, 0, 57, 316
"e:\Workspace\Edu_Learn_Next\app\(root)\about\page.tsx", "TypeScript JSX", 0, 0, 0, 158, 0, 14, 6, 178
"e:\Workspace\Edu_Learn_Next\app\(root)\events\mock_data.ts", "TypeScript", 0, 142, 0, 0, 0, 0, 12, 154
"e:\Workspace\Edu_Learn_Next\app\(root)\events\page.tsx", "TypeScript JSX", 0, 0, 0, -133, 0, 10, 1, -122
"e:\Workspace\Edu_Learn_Next\app\(root)\features\[type]\page.tsx", "TypeScript JSX", 0, 0, 0, -116, 0, -4, -12, -132
"e:\Workspace\Edu_Learn_Next\app\(root)\features\constants.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 3, 15
"e:\Workspace\Edu_Learn_Next\app\(root)\features\listening\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 520, 0, 48, 69, 637
"e:\Workspace\Edu_Learn_Next\app\(root)\features\vocabulary\[folderId]\page.tsx", "TypeScript JSX", 0, 0, 0, 122, 0, 6, 12, 140
"e:\Workspace\Edu_Learn_Next\app\(root)\features\vocabulary\flashcard\[folderId]\page.tsx", "TypeScript JSX", 0, 0, 0, 335, 0, 7, 33, 375
"e:\Workspace\Edu_Learn_Next\app\(root)\layout.tsx", "TypeScript JSX", 0, 0, 0, -1, 0, 0, -1, -2
"e:\Workspace\Edu_Learn_Next\app\(root)\news\[id]\mock_data.ts", "TypeScript", 0, 121, 0, 0, 0, 2, 13, 136
"e:\Workspace\Edu_Learn_Next\app\(root)\news\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, -164, 0, 5, 1, -158
"e:\Workspace\Edu_Learn_Next\app\(root)\news\mock_data.ts", "TypeScript", 0, 100, 0, 0, 0, 0, 9, 109
"e:\Workspace\Edu_Learn_Next\app\(root)\news\page.tsx", "TypeScript JSX", 0, 0, 0, -30, 0, 2, -2, -30
"e:\Workspace\Edu_Learn_Next\app\(root)\page.tsx", "TypeScript JSX", 0, 0, 0, 22, 0, 10, 1, 33
"e:\Workspace\Edu_Learn_Next\app\(root)\profile\page.tsx", "TypeScript JSX", 0, 0, 0, -23, 0, 11, 15, 3
"e:\Workspace\Edu_Learn_Next\app\admin\class-chat\layout.tsx", "TypeScript JSX", 0, 0, 0, -8, 0, 0, -4, -12
"e:\Workspace\Edu_Learn_Next\app\admin\class-chat\page.tsx", "TypeScript JSX", 0, 0, 0, -315, 0, -8, -15, -338
"e:\Workspace\Edu_Learn_Next\app\admin\classes\[id]\examinate\editor\page.tsx", "TypeScript JSX", 0, 0, 0, 740, 0, 22, 69, 831
"e:\Workspace\Edu_Learn_Next\app\admin\classes\[id]\examinate\page.tsx", "TypeScript JSX", 0, 0, 0, 579, 0, 10, 28, 617
"e:\Workspace\Edu_Learn_Next\app\admin\classes\[id]\exercise-create\page.tsx", "TypeScript JSX", 0, 0, 0, 505, 0, 20, 46, 571
"e:\Workspace\Edu_Learn_Next\app\admin\classes\[id]\multiple-create\page.tsx", "TypeScript JSX", 0, 0, 0, 80, 0, 0, 13, 93
"e:\Workspace\Edu_Learn_Next\app\admin\classes\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 1456, 0, 35, 120, 1611
"e:\Workspace\Edu_Learn_Next\app\admin\classes\[id]\single-create\page.tsx", "TypeScript JSX", 0, 0, 0, 205, 0, 0, 25, 230
"e:\Workspace\Edu_Learn_Next\app\admin\classes\create\page.tsx", "TypeScript JSX", 0, 0, 0, -90, 0, -6, -13, -109
"e:\Workspace\Edu_Learn_Next\app\admin\classes\page.tsx", "TypeScript JSX", 0, 0, 0, 2, 0, 0, 0, 2
"e:\Workspace\Edu_Learn_Next\app\admin\content\page.tsx", "TypeScript JSX", 0, 0, 0, -84, 0, -3, -10, -97
"e:\Workspace\Edu_Learn_Next\app\admin\document-crawl\page.tsx", "TypeScript JSX", 0, 0, 0, 312, 0, 19, 32, 363
"e:\Workspace\Edu_Learn_Next\app\admin\exercises\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, -214, 0, 0, -17, -231
"e:\Workspace\Edu_Learn_Next\app\admin\exercises\create\page.tsx", "TypeScript JSX", 0, 0, 0, -73, 0, -5, -13, -91
"e:\Workspace\Edu_Learn_Next\app\admin\exercises\page.tsx", "TypeScript JSX", 0, 0, 0, -54, 0, -2, -11, -67
"e:\Workspace\Edu_Learn_Next\app\admin\layout.tsx", "TypeScript JSX", 0, 0, 0, -6, 0, 2, 0, -4
"e:\Workspace\Edu_Learn_Next\app\admin\news\handle\page.tsx", "TypeScript JSX", 0, 0, 0, -121, 0, 0, -10, -131
"e:\Workspace\Edu_Learn_Next\app\admin\news\page.tsx", "TypeScript JSX", 0, 0, 0, -29, 0, -1, -7, -37
"e:\Workspace\Edu_Learn_Next\app\admin\page.tsx", "TypeScript JSX", 0, 0, 0, -44, 0, 0, 0, -44
"e:\Workspace\Edu_Learn_Next\app\admin\students\create\page.tsx", "TypeScript JSX", 0, 0, 0, -3, 0, 0, 0, -3
"e:\Workspace\Edu_Learn_Next\app\admin\students\page.tsx", "TypeScript JSX", 0, 0, 0, 209, 0, 4, 11, 224
"e:\Workspace\Edu_Learn_Next\app\auth\page.tsx", "TypeScript JSX", 0, 0, 0, -114, 0, 4, 4, -106
"e:\Workspace\Edu_Learn_Next\app\components\auth\ProtectedRoute.tsx", "TypeScript JSX", 0, 0, 0, -8, 0, -7, -4, -19
"e:\Workspace\Edu_Learn_Next\app\components\auth\SignIn.tsx", "TypeScript JSX", 0, 0, 0, -109, 0, -2, -12, -123
"e:\Workspace\Edu_Learn_Next\app\components\auth\SignUp.tsx", "TypeScript JSX", 0, 0, 0, -150, 0, -2, -14, -166
"e:\Workspace\Edu_Learn_Next\app\components\chat\ChatCenter.tsx", "TypeScript JSX", 0, 0, 0, -125, 0, -5, -10, -140
"e:\Workspace\Edu_Learn_Next\app\components\chat\ChatLeftSidebar.tsx", "TypeScript JSX", 0, 0, 0, -47, 0, -3, -5, -55
"e:\Workspace\Edu_Learn_Next\app\components\chat\ChatRightSidebar.tsx", "TypeScript JSX", 0, 0, 0, -65, 0, -3, -8, -76
"e:\Workspace\Edu_Learn_Next\app\components\chat\CreateGroupChatModal.tsx", "TypeScript JSX", 0, 0, 0, -24, 0, 0, -4, -28
"e:\Workspace\Edu_Learn_Next\app\components\chat\EmptyChatCenter.tsx", "TypeScript JSX", 0, 0, 0, -13, 0, 0, -5, -18
"e:\Workspace\Edu_Learn_Next\app\components\chat\GroupChatList.tsx", "TypeScript JSX", 0, 0, 0, -63, 0, -2, -7, -72
"e:\Workspace\Edu_Learn_Next\app\components\chat\PrivateChatList.tsx", "TypeScript JSX", 0, 0, 0, -69, 0, -2, -8, -79
"e:\Workspace\Edu_Learn_Next\app\components\class_chat\ClassChatHeader.tsx", "TypeScript JSX", 0, 0, 0, -37, 0, -1, -5, -43
"e:\Workspace\Edu_Learn_Next\app\components\class_chat\ClassChatSearchModal.tsx", "TypeScript JSX", 0, 0, 0, -134, 0, -4, -10, -148
"e:\Workspace\Edu_Learn_Next\app\components\class_chat\ClassChatTable.tsx", "TypeScript JSX", 0, 0, 0, -158, 0, 0, -8, -166
"e:\Workspace\Edu_Learn_Next\app\components\classes\AddSingleStudentModal.tsx", "TypeScript JSX", 0, 0, 0, -173, 0, -15, -23, -211
"e:\Workspace\Edu_Learn_Next\app\components\classes\BannedListModal.tsx", "TypeScript JSX", 0, 0, 0, 1, 0, 1, 1, 3
"e:\Workspace\Edu_Learn_Next\app\components\classes\ClassHeader.tsx", "TypeScript JSX", 0, 0, 0, 2, 0, 0, 1, 3
"e:\Workspace\Edu_Learn_Next\app\components\classes\ClassInfoCard.tsx", "TypeScript JSX", 0, 0, 0, 59, 0, 0, 4, 63
"e:\Workspace\Edu_Learn_Next\app\components\classes\ClassStudentsTable.tsx", "TypeScript JSX", 0, 0, 0, -1, 0, 0, 1, 0
"e:\Workspace\Edu_Learn_Next\app\components\classes\ClassesHeader.tsx", "TypeScript JSX", 0, 0, 0, 2, 0, 0, 0, 2
"e:\Workspace\Edu_Learn_Next\app\components\classes\ClassesSearchModal.tsx", "TypeScript JSX", 0, 0, 0, -119, 0, -4, -10, -133
"e:\Workspace\Edu_Learn_Next\app\components\common\CSVUploadForm.tsx", "TypeScript JSX", 0, 0, 0, 68, 0, 8, 2, 78
"e:\Workspace\Edu_Learn_Next\app\components\common\DarkConfigProvider.tsx", "TypeScript JSX", 0, 0, 0, 40, 0, 0, 5, 45
"e:\Workspace\Edu_Learn_Next\app\components\common\DarkPagination.tsx", "TypeScript JSX", 0, 0, 0, 65, 0, 0, 5, 70
"e:\Workspace\Edu_Learn_Next\app\components\common\ScrollAnimation.tsx", "TypeScript JSX", 0, 0, 0, 69, 0, 1, 12, 82
"e:\Workspace\Edu_Learn_Next\app\components\community\CommentModal.tsx", "TypeScript JSX", 0, 0, 0, 12, 0, 1, 1, 14
"e:\Workspace\Edu_Learn_Next\app\components\community\CreatePostModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 1
"e:\Workspace\Edu_Learn_Next\app\components\content\ContentHeader.tsx", "TypeScript JSX", 0, 0, 0, -47, 0, -1, -5, -53
"e:\Workspace\Edu_Learn_Next\app\components\content\ContentSidebar.tsx", "TypeScript JSX", 0, 0, 0, -93, 0, -3, -7, -103
"e:\Workspace\Edu_Learn_Next\app\components\content\ContributeContentModal.tsx", "TypeScript JSX", 0, 0, 0, -32, 0, 0, -5, -37
"e:\Workspace\Edu_Learn_Next\app\components\documents\CardDocument.tsx", "TypeScript JSX", 0, 0, 0, -3, 0, 0, 0, -3
"e:\Workspace\Edu_Learn_Next\app\components\documents\DocumentGrid.tsx", "TypeScript JSX", 0, 0, 0, -37, 0, 0, -4, -41
"e:\Workspace\Edu_Learn_Next\app\components\documents\DocumentPreview.tsx", "TypeScript JSX", 0, 0, 0, -26, 0, -15, -6, -47
"e:\Workspace\Edu_Learn_Next\app\components\documents\index.ts", "TypeScript", 0, -2, 0, 0, 0, 0, -1, -3
"e:\Workspace\Edu_Learn_Next\app\components\events\EventCard.tsx", "TypeScript JSX", 0, 0, 0, 63, 0, 6, 12, 81
"e:\Workspace\Edu_Learn_Next\app\components\events\EventDetailModal.tsx", "TypeScript JSX", 0, 0, 0, 111, 0, 0, 11, 122
"e:\Workspace\Edu_Learn_Next\app\components\exercises\ExerciseContent.tsx", "TypeScript JSX", 0, 0, 0, -76, 0, -4, -10, -90
